rank,personName,age,finalWorth,category,source,country,state,city,organization,selfMade,gender,birthDate,title
2076,Wang Fuji,,1400,Healthcare,pharmaceuticals,China,,Zhangzhou,,TRUE,M,,
2076,Wang Jian,68,1400,Technology,healthcare services,China,,Shenzhen,,TRUE,M,01/01/1954,
2076,Werner O. Weber,83,1400,Manufacturing,electronic components,Switzerland,,Zurich,,TRUE,M,02/09/1939,
2076,Wei Lidong & family,46,1400,Technology,software,China,,Shanghai,,TRUE,M,01/01/1976,
2076,Drorit Wertheim,66,1400,Food & Beverage,Coca Cola Israel,Israel,,Bnei Atarot,,FALSE,F,01/01/1956,
2076,Bo Wu,67,1400,Manufacturing,machinery,China,,Nanjing,,TRUE,M,05/01/1954,
2076,Eugene Wu,76,1400,Finance & Investments,finance,Taiwan,,Taipei,,FALSE,M,05/03/1945,
2076,Wu Xushun & family,73,1400,Diversified,internet,China,,Wuhu,,TRUE,M,4/28/1948,
2076,Wenbo Xiang,59,1400,Manufacturing,manufacturing,China,,Changsha,,TRUE,M,6/21/1962,
2076,Swift Xie,42,1400,Technology,drones,China,,Shenzhen,DJI Technology Co.,TRUE,M,01/01/1980,Entrepreneur
2076,Xu Bingzhong,48,1400,Food & Beverage,bars,China,,Shenzhen,,TRUE,M,01/01/1974,
2076,Xu Shaochun,59,1400,Technology,software,China,,Shenzhen,,TRUE,M,01/01/1963,
2076,Yan Junxu,52,1400,Manufacturing,Manufacturing,China,,Taicang,,TRUE,M,7/17/1969,
2076,George Yancopoulos,62,1400,Healthcare,pharmaceuticals,United States,New York,Yorktown Heights,,TRUE,M,09/10/1959,
2076,Gavril Yushvaev,64,1400,Finance & Investments,precious metals- real estate,Russia,,Moscow,,TRUE,M,7/23/1957,
2076,Zhuo Jun,56,1400,Manufacturing,printed circuit boards,Hong Kong,,Hong Kong,,FALSE,F,01/01/1966,
2076,Fredrik Österberg,51,1400,Gambling & Casinos,gambling products,Sweden,,Stockholm,,TRUE,M,1/19/1971,
2190,Alberto Alcocer,79,1300,Finance & Investments,investments,Spain,,Madrid,,TRUE,M,12/07/1942,
2190,Alexandra Andresen,25,1300,Diversified,investments,Norway,,Oslo,,FALSE,F,7/23/1996,
2190,Katharina Andresen,26,1300,Diversified,investments,Norway,,Oslo,,FALSE,F,5/21/1995,
2190,Rutger Arnhult,54,1300,Real Estate,real estate,Sweden,,Stockholm,,TRUE,M,05/08/1967,
2190,Anant Asavabhokin,71,1300,Real Estate,real estate,Thailand,,Bangkok,,TRUE,M,08/11/1950,
2190,Mehmet Aydinlar,65,1300,Healthcare,hospitals,Turkey,,Istanbul,,TRUE,M,7/27/1956,
2190,Binny Bansal,39,1300,Technology,flipkart,Singapore,,Singapore,,TRUE,M,12/03/1982,
2190,Sachin Bansal,40,1300,Fashion & Retail,flipkart,India,,Bangalore,,TRUE,M,08/05/1981,
2190,Barbara Benetton,52,1300,Fashion & Retail,fashion retail- investments,Italy,,Campodoro,,FALSE,F,07/02/1969,
2190,Othman Benjelloun & family,89,1300,Finance & Investments,banking- insurance,Morocco,,Casablanca,,FALSE,M,11/01/1932,
2190,Angela Bennett,78,1300,Metals & Mining,mining,Australia,,Perth,,FALSE,F,04/01/1944,
2190,Oleg Boyko,57,1300,Diversified,diversified,Switzerland,,Lipperswil,,TRUE,M,9/28/1964,
2190,Anna Maria Braun,43,1300,Healthcare,medical technology,Germany,,Melsungen,,FALSE,F,01/01/1979,
2190,Edouard Carmignac,74,1300,Finance & Investments,asset management,France,,Paris,,TRUE,M,09/04/1947,
2190,Anthony Casalena,39,1300,Technology,software,United States,Maryland,Monkton,,TRUE,M,4/24/1982,
2190,Chang Jing,39,1300,Technology,technology,China,,Beijing,,TRUE,M,08/01/1982,
2190,Jeffrey Cheah,77,1300,Real Estate,property- healthcare,Malaysia,,Kuala Lumpur,,TRUE,M,3/30/1945,
2190,Chen Shiliang,58,1300,Manufacturing,polyester,China,,Tongxiang,,TRUE,M,12/01/1963,
2190,Yuantai Chen,54,1300,Energy,batteries,China,,Ningde,,TRUE,M,03/01/1968,
2190,Cheng Xianfeng,53,1300,Healthcare,pharmaceuticals,China,,Hefei,,TRUE,M,12/01/1968,
2190,Chu Jian,59,1300,Manufacturing,Manufacturing,China,,Hangzhou,,TRUE,M,04/01/1963,
2190,Chua Thian Poh,73,1300,Real Estate,real estate,Singapore,,Singapore,,TRUE,M,07/11/1948,
2190,Alberto Cortina,76,1300,Finance & Investments,investments,Spain,,Madrid,,TRUE,M,1/20/1946,
2190,Sandor Csanyi,69,1300,Diversified,finance- real estate,Hungary,,Budapest,,TRUE,M,3/20/1953,
2190,Sasson Dayan & family,82,1300,Finance & Investments,banking,Brazil,,Sao Paulo,,TRUE,M,04/01/1940,
2190,Anand Deshpande,59,1300,Technology,technology,India,,Pune,,TRUE,M,05/01/1962,
2190,Richard Desmond,70,1300,Media & Entertainment,publishing,United Kingdom,,London,,TRUE,M,12/08/1951,
2190,Shlomo Eliahu,86,1300,Finance & Investments,insurance,Israel,,Tel Aviv,,TRUE,M,1/18/1936,
2190,Jose Roberto Ermirio de Moraes,64,1300,Diversified,diversified,Brazil,,Sao Paulo,,FALSE,M,11/30/1957,
2190,Jose Ermirio de Moraes Neto,69,1300,Diversified,diversified,Brazil,,Sao Paulo,,FALSE,M,6/17/1952,
2190,David Fattal & family,64,1300,Service,hotels,Israel,,Tel Aviv,,TRUE,M,6/22/1957,
2190,Marvy Finger,86,1300,Real Estate,real estate,United States,Texas,Houston,,TRUE,M,12/08/1935,Entrepreneur
2190,Adam Foroughi,41,1300,Media & Entertainment,mobile games,United States,California,Truckee,,TRUE,M,05/07/1980,
2190,Richard Fortin,73,1300,Fashion & Retail,convinience stores,Canada,,Boucherville,,TRUE,M,09/01/1948,
2190,Luiz Frias,58,1300,Technology,mobile payments,Brazil,,Sao Paulo,,FALSE,M,04/06/1963,Entrepreneur- Journalist
2190,Susumu Fujita,48,1300,Media & Entertainment,internet media,Japan,,Tokyo,,TRUE,M,5/16/1973,
2190,Simona Giorgetta,44,1300,Construction & Engineering,chemical products,Italy,,Milan,,FALSE,F,4/24/1977,
2190,Premchand Godha,75,1300,Healthcare,pharmaceuticals,India,,Mumbai,,TRUE,M,01/01/1947,
2190,Mikhail Gutseriev & brother,64,1300,Energy,oil- real estate,Russia,,Moscow,,TRUE,M,03/09/1958,
2190,Hang Hong,54,1300,Manufacturing,machinery,China,,Wuxi,,TRUE,F,01/01/1968,
2190,Alfredo Harp Helu & family,78,1300,Finance & Investments,banking- investments,Mexico,,Mexico City,,TRUE,M,03/11/1944,
2190,Jaroslav Hascak & family,52,1300,Finance & Investments,investments,Slovakia,,Bratislava,,TRUE,M,8/30/1969,
2190,He Zuxun,56,1300,Food & Beverage,pig breeding,China,,Kunming,,TRUE,M,10/28/1965,
2190,David Hoffman,69,1300,Diversified,executive search- investments,United States,Florida,Naples,,TRUE,M,08/07/1952,
2190,Francis Holder,81,1300,Food & Beverage,bakeries,France,,Lille,,TRUE,M,01/01/1941,
2190,Hu Rongda & family,63,1300,Manufacturing,chemicals,China,,Jinhua,,TRUE,M,01/01/1959,
2190,Wei Huang,62,1300,Real Estate,real estate,China,,Hangzhou,,TRUE,M,9/30/1959,
2190,Zarakh Iliev,55,1300,Real Estate,real estate,Russia,,Moscow,,TRUE,M,09/09/1966,
2190,Mitchell Jacobson,71,1300,Service,industrial equipment,United States,New York,Locust Valley,,FALSE,M,03/06/1951,
2190,Jiang Guiting & family,63,1300,Manufacturing,manufacturing,China,,Dezhou,,TRUE,M,07/01/1958,
2190,Rajeev Juneja,56,1300,Healthcare,phamaceuticals,India,,Delhi,,TRUE,M,7/28/1965,
2190,Peter Kelly,64,1300,Technology,I.T.,United Kingdom,,Bristol,,TRUE,M,07/01/1957,
2190,Kim Nam-jung,49,1300,Food & Beverage,food,South Korea,,Seoul,,FALSE,M,01/01/1973,
2190,Koon Poh Ming,65,1300,Metals & Mining,aluminum,Malaysia,,Bintulu,,TRUE,M,11/17/1956,
2190,Yuri Kovalchuk,70,1300,Finance & Investments,banking- insurance- media,Russia,,St. Petersburg,,TRUE,M,7/25/1951,
2190,Michael Krasny,68,1300,Technology,retail,United States,Illinois,Highland Park,Sawdust Investment Management Corp.,TRUE,M,08/08/1953,Investor
2190,Raymond Kwok,68,1300,Real Estate,real estate,Hong Kong,,Hong Kong,,FALSE,M,04/10/1953,
2190,Heikki Kyostila,76,1300,Healthcare,dental products,Finland,,Helsinki,,TRUE,M,1/19/1946,
2190,Lee Ho-jin,59,1300,Diversified,diversified,South Korea,,Seoul,Taekwang Industrial,FALSE,M,12/08/1962,
2190,Bernard Lewis & family,96,1300,Fashion & Retail,fashion retailer,United Kingdom,,London,,TRUE,M,02/10/1926,
2190,Fengluan Li,60,1300,Diversified,steel- diversified,China,,Ruzhou,,TRUE,F,01/01/1962,
2190,Hua Li,44,1300,Finance & Investments,financial services,China,,Shenzhen,,TRUE,M,01/01/1978,
2190,Li Ruiqiang,42,1300,Healthcare,medical services,China,,Beijing,,TRUE,M,11/01/1979,
2190,Lin Zhijun,46,1300,Healthcare,medical devices,China,,Xiamen,,TRUE,M,09/01/1975,
2190,Lin Zhixiong & family,48,1300,Healthcare,medical devices,China,,Xiamen,,TRUE,M,07/01/1973,
2190,Liu Ming Hui,59,1300,Energy,natural gas distribution,Hong Kong,,Hong Kong,,TRUE,M,01/01/1963,
2190,Xuejing Liu & family,71,1300,Diversified,copper- poultry,China,,Liaocheng,,TRUE,M,01/01/1951,
2190,Lu Yonghua & family,58,1300,Technology,electronics,China,,Shanghai,,TRUE,M,7/26/1963,
2190,Zhaoxi Lu,53,1300,Technology,e-commerce,China,,Hangzhou,,TRUE,M,01/01/1969,
2190,Frederic Luddy,67,1300,Technology,software,United States,California,San Diego,ServiceNow,TRUE,M,11/24/1954,Entrepreneur
2190,Miao Yongjun,54,1300,Healthcare,clinical diagnostics,China,,Zhengzhou,,TRUE,M,12/01/1967,
2190,Martin Moller Nielsen,57,1300,Logistics,aircraft leasing,United Kingdom,,London,,TRUE,M,08/01/1964,
2190,Neide Helena de Moraes,67,1300,Diversified,diversified,Brazil,,Sao Paulo,,FALSE,F,2/15/1955,
2190,Yoshiko Mori,81,1300,Real Estate,real estate,Japan,,Tokyo,,FALSE,F,9/24/1940,
2190,Mofatraj Munot,77,1300,Real Estate,real estate,India,,Mumbai,,TRUE,M,10/04/1944,
2190,Randal Nardone,66,1300,Finance & Investments,investments- energy,United States,New York,New York,,TRUE,M,6/22/1955,
2190,God Nisanov,49,1300,Real Estate,real estate,Russia,,Moscow,,TRUE,M,4/24/1972,
2190,Vadim Novinsky,58,1300,Metals & Mining,steel,Ukraine,,Kiev,,TRUE,M,06/03/1963,
2190,Satyanarayan Nuwal,69,1300,Manufacturing,industrial explosives,India,,Nagpur,,TRUE,M,7/25/1952,
2190,John Ocampo,63,1300,Technology,semiconductors,United States,California,Los Altos,,TRUE,M,04/05/1959,
2190,Pan Gang,51,1300,Food & Beverage,dairy,China,,Hohhot,,TRUE,M,07/01/1970,
2190,Forrest Preston,89,1300,Healthcare,health care,United States,Tennessee,Cleveland,,TRUE,M,3/22/1933,
2190,Riju Raveendran,39,1300,Technology,edtech,India,,Bangalore,,TRUE,M,11/11/1982,
2190,P.P. Reddy,64,1300,Construction & Engineering,infrastructure,India,,Hyderabad,,TRUE,M,8/30/1957,
2190,P.V.Krishna Reddy,52,1300,Construction & Engineering,infrastructure,India,,Hyderabad,,TRUE,M,6/30/1969,
2190,Satish Reddy,54,1300,Healthcare,pharmaceuticals,India,,Hyderabad,,FALSE,M,06/09/1967,
2190,Lily Safra,84,1300,Finance & Investments,banking,Switzerland,,Geneva,,FALSE,F,01/01/1938,
2190,Richard Saghian,40,1300,Fashion & Retail,fast fashion,United States,California,Los Angeles,,TRUE,M,08/06/1981,
2190,Deniz Sahenk,76,1300,Diversified,diversified,Turkey,,Istanbul,,FALSE,F,08/06/1945,
2190,Thomas Sandell,61,1300,Finance & Investments,hedge funds,United Kingdom,,London,Sandell Asset Management,TRUE,M,02/01/1961,Founder
2190,Hajime Satomi,80,1300,Gambling & Casinos,video games- pachinko,Japan,,Tokyo,,TRUE,M,1/16/1942,
2190,James Scapa,65,1300,Technology,software,United States,California,Atherton,,TRUE,M,1/23/1957,
2190,Paul Sciarra,41,1300,Media & Entertainment,Pinterest,United States,California,San Francisco,,TRUE,M,2/15/1981,
2190,Albert Shigaboutdinov,69,1300,Diversified,refinery- chemicals,Russia,,Kazan,,TRUE,M,11/12/1952,
2190,Nobutoshi Shimamura,96,1300,Fashion & Retail,retail,Japan,,Saitama,,TRUE,M,03/08/1926,
2190,Ron Sim,63,1300,Fashion & Retail,retail,Singapore,,Singapore,,TRUE,M,12/01/1958,
2190,Alexander Sixt,42,1300,Automotive,car rentals,Germany,,Munich,,FALSE,M,10/24/1979,
2190,Konstantin Sixt,39,1300,Automotive,car rentals,Germany,,Munich,,FALSE,M,12/02/1982,
2190,Terry Snow,78,1300,Real Estate,airports- real estate,Australia,,Canberra,,TRUE,M,12/23/1943,
2190,Marco Squinzi,50,1300,Construction & Engineering,chemical products,Italy,,Milan,,FALSE,M,9/23/1971,
2190,Veronica Squinzi,50,1300,Construction & Engineering,chemical products,Italy,,Milan,,FALSE,F,01/01/1972,
2190,Manny Stul,72,1300,Manufacturing,toys,Australia,,Melbourne,,TRUE,M,05/09/1949,
2190,Rustem Sulteev,68,1300,Energy,refinery- chemicals,Russia,,Kazan,,TRUE,M,01/04/1954,
2190,Sehat Sutardja,60,1300,Technology,semiconductors,United States,Nevada,Las Vegas,,TRUE,M,07/09/1961,
2190,Tony Tan Caktiong,69,1300,Food & Beverage,food,Philippines,,Manila,,TRUE,M,01/05/1953,
2190,Jim Thompson,82,1300,Logistics,logistics,Hong Kong,,Hong Kong,,TRUE,M,1/14/1940,
2190,Carmen Thyssen,78,1300,Manufacturing,investments- art,Andorra,,,,FALSE,F,4/23/1943,
2190,August Troendle,66,1300,Healthcare,pharmaceutical services,United States,Ohio,Cincinnati,,TRUE,M,01/01/1956,
2190,Joop van den Ende,80,1300,Media & Entertainment,TV shows,Netherlands,,Baarn,,TRUE,M,2/23/1942,
2190,Sekar Vembu,50,1300,Technology,business software,India,,Chennai,,TRUE,M,01/01/1972,
2190,Sandro Veronesi & family,62,1300,Fashion & Retail,fashion,Italy,,Milan,,TRUE,M,10/18/1959,
2190,Wan Long,81,1300,Food & Beverage,food,China,,Luohe,,TRUE,M,09/01/1940,
2190,Han Wang,34,1300,Diversified,airline,China,,Shanghai,,FALSE,M,08/01/1987,
2190,Wang Jianyi,59,1300,Technology,fiber optic cables,China,,Hangzhou,,TRUE,M,01/12/1963,Entrepreneur
2190,Wang Qinghua,56,1300,Manufacturing,electric equipment,China,,Suzhou,,TRUE,M,07/01/1965,
2190,Pengcheng Wen & family,59,1300,Food & Beverage,agribusiness,China,,Yunfu,,TRUE,M,10/08/1962,
2190,Alfred West- Jr.,79,1300,Finance & Investments,money management,United States,Pennsylvania,Paoli,,TRUE,M,12/07/1942,
2190,Dan Wilks,65,1300,Energy,natural gas,United States,Texas,Cisco,,TRUE,M,5/30/1956,
2190,Farris Wilks,70,1300,Energy,natural gas,United States,Texas,Cisco,,TRUE,M,02/09/1952,
2190,Gang Xu,58,1300,Manufacturing,Chemicals,China,,Jiaozuo,,TRUE,M,4/17/1963,
2190,Xu Jin,57,1300,Food & Beverage,wine,China,,Huaibei city,,TRUE,M,1/24/1965,
2190,Tony Xu,37,1300,Technology,food delivery service,United States,California,San Francisco,,TRUE,M,9/20/1984,
2190,Ye Yanqiao,52,1300,Food & Beverage,soy sauce,China,,Foshan,,TRUE,M,10/01/1969,
2190,Patrick Zalupski,41,1300,Real Estate,homebuilding,United States,Florida,Jacksonville,,TRUE,M,11/29/1980,
2190,Shengda Zan,59,1300,Diversified,diversified,China,,Nantong,,TRUE,M,04/02/1963,
2190,Zeng Chaoyi,53,1300,Manufacturing,aluminum products,China,,Changsha,,TRUE,M,04/01/1969,
2190,Zhang Guiping & family,70,1300,Real Estate,real estate,China,,Nanjing,,TRUE,M,8/21/1951,
2190,Peng Zhao,51,1300,Service,online recruitment,China,,Beijing,,TRUE,M,01/01/1971,
2190,Zheng Zhiguo,50,1300,Healthcare,drugs,China,,Taizhou,,TRUE,M,10/01/1971,
2190,Kostyantin Zhevago,48,1300,Metals & Mining,mining,Ukraine,,Kiev,,TRUE,M,01/07/1974,
2190,Zhou Mingjie,64,1300,Technology,lighting installations,China,,Shenzhen,,TRUE,M,08/01/1957,
2190,Zhu Xingliang,62,1300,Construction & Engineering,construction,China,,Suzhou,,TRUE,M,05/01/1959,Entrepreneur
2190,Zhu Yiwen & family,,1300,Healthcare,healthcare,China,,Shanghai,,TRUE,M,,
2190,Zong Yanmin,,1300,Manufacturing,Semiconductor materials,China,,Jinan,,TRUE,M,,
2324,Sanjay Agarwal,51,1200,Finance & Investments,banking,India,,Jaipur,,TRUE,M,09/08/1970,
2324,Hamad bin Jassim bin Jaber Al Thani,62,1200,Finance & Investments,investments,Qatar,,Doha,,FALSE,M,10/01/1959,
2324,Betty Ang,67,1200,Food & Beverage,foods,Philippines,,Manila,,TRUE,F,11/13/1954,
2324,Christian Angermayer,43,1200,Finance & Investments,investments,United Kingdom,,London,,TRUE,M,4/26/1978,
2324,Mika Anttonen,55,1200,Energy,oil & gas,Finland,,Helsinki,,TRUE,M,12/18/1966,
2324,Jose Maria Aristrain,59,1200,Metals & Mining,steel,Switzerland,,Gstaad,,FALSE,M,11/02/1962,
2324,Emilio Azcarraga Jean,54,1200,Media & Entertainment,TV broadcasting,Mexico,,Mexico City,,FALSE,M,2/21/1968,
2324,Thomas Bailey,85,1200,Finance & Investments,money management,United States,Colorado,Aspen,,TRUE,M,01/01/1937,
2324,Andrei Bokarev,55,1200,Manufacturing,metals- mining,Russia,,Moscow,,TRUE,M,10/23/1966,
2324,Stephane Bonvin,55,1200,Real Estate,real estate,Switzerland,,Lens,,TRUE,M,01/01/1967,
2324,Ashok Boob,70,1200,Manufacturing,specialty chemicals,India,,Pune,,TRUE,M,03/02/1952,
2324,Ludwig Theodor Braun,32,1200,Healthcare,medical technology,Germany,,Melsungen,,FALSE,M,01/01/1990,
2324,Friederike Braun-Luedicke,38,1200,Healthcare,medical technology,Germany,,Melsungen,,FALSE,F,01/01/1984,
2324,Pradip Burman,79,1200,Food & Beverage,consumer goods,India,,Delhi,,FALSE,M,11/02/1942,
2324,Cai Hongbin,,1200,Healthcare,pharmaceuticals,China,,Lianyungang,,TRUE,M,,
2324,Chang Kuo-Cheng,,1200,Logistics,Transportation,Taiwan,,Taipei,,FALSE,M,,
2324,Jiancheng Chen,63,1200,Manufacturing,manufacturing,China,,Shangyu,,TRUE,M,1/13/1959,
2324,Chen Xueling,54,1200,Manufacturing,stationery,China,,Shantou,,TRUE,F,10/16/1967,
2324,Cheng Lili,57,1200,Food & Beverage,poultry breeding,China,,Changzhou,,TRUE,M,01/01/1965,
2324,Yvon Chouinard,83,1200,Fashion & Retail,Patagonia,United States,California,Ventura,,TRUE,M,11/09/1938,
2324,Luigi Cremonini & family,82,1200,Food & Beverage,meat processing,Italy,,Modena,,TRUE,M,4/28/1939,
2324,Tim Draper,63,1200,Finance & Investments,cryptocurrency,United States,California,Atherton,,FALSE,M,06/11/1958,
2324,Fan Zhaoxia & family,54,1200,Energy,photovoltaic equipment,China,,Beijing,,TRUE,F,7/20/1967,
2324,Gleb Fetisov,55,1200,Telecom,investments,Russia,,Moscow,,TRUE,M,06/05/1966,
2324,Robert Fisher,68,1200,Fashion & Retail,Gap,United States,California,San Francisco,Gap,FALSE,M,08/01/1953,Chairman of the Board
2324,William Fisher,65,1200,Fashion & Retail,Gap,United States,California,San Francisco,Gap,FALSE,M,04/01/1957,Director
2324,J. Christopher Flowers,64,1200,Finance & Investments,investments,United States,New York,New York,J.C. Flowers & Co. LLC,TRUE,M,10/27/1957,Founder and Managing Director
2324,Bernd Freier,65,1200,Fashion & Retail,fashion retail,Germany,,Rottendorf,,TRUE,M,01/01/1957,
2324,Geng Diangen,65,1200,Technology,Internet,China,,Beijing,,TRUE,M,12/03/1956,
2324,Dan Gertler,48,1200,Metals & Mining,mining,Israel,,Bnei Brak,,FALSE,M,12/23/1973,
2324,David Girouard,56,1200,Finance & Investments,fintech,United States,California,Redwood City,,TRUE,M,3/13/1966,
2324,John Goff,67,1200,Real Estate,real estate,United States,Texas,Fort Worth,,TRUE,M,01/01/1955,
2324,Lawrence Golub,62,1200,Finance & Investments,private equity,United States,New York,New York,,TRUE,M,10/03/1959,Investor
2324,Sven Hagströmer,78,1200,Finance & Investments,financial services,Sweden,,Stockholm,,TRUE,M,11/30/1943,
2324,Fahed Hariri,41,1200,Construction & Engineering,construction- investments,United Kingdom,,London,,FALSE,M,12/29/1980,
2324,Richard Hayne,74,1200,Fashion & Retail,Urban Outfitters,United States,Pennsylvania,Philadelphia,Urban Outfitters,TRUE,M,09/01/1947,Chairman- President & Chief Executive Officer
2324,He Yamin & family,65,1200,Manufacturing,manufacturing,China,,Chengdu,,TRUE,M,2/23/1957,
2324,Michael Heine,72,1200,Finance & Investments,financial services,Australia,,Melbourne,,TRUE,M,11/01/1949,
2324,Heikki Herlin,35,1200,Manufacturing,elevators- escalators,Finland,,Helsinki,,FALSE,M,01/01/1987,
2324,Hong Feng,45,1200,Technology,smartphones,China,,Beijing,,TRUE,M,01/01/1977,
2324,Hu Kun,52,1200,Healthcare,medical equipment,China,,Qinhuangdao,,TRUE,M,09/01/1969,
2324,Huang Hongyun & family,55,1200,Real Estate,real estate,China,,Chongqing,,TRUE,M,6/26/1966,
2324,Shanbing Huang & family,65,1200,Technology,semiconductors,China,,Qidong,,TRUE,M,10/16/1956,
2324,Huang Shih Tsai,70,1200,Real Estate,real estate,China,,Shenzhen,,TRUE,M,06/01/1951,
2324,Huang Wenbiao,54,1200,Food & Beverage,soy sauce,China,,Foshan,,TRUE,M,05/01/1967,
2324,Mohammed Ibrahim,75,1200,Telecom,communications,United Kingdom,,London,Mo Ibrahim Foundation,TRUE,M,05/03/1946,Founder
2324,Hedda im Brahm-Droege,67,1200,Finance & Investments,investments,Germany,,Dusseldorf,,TRUE,F,01/01/1955,
2324,Rameshchandra Jain,73,1200,Manufacturing,textiles,India,,Mumbai,,TRUE,M,6/22/1948,
2324,Laurent Junique,56,1200,Technology,call centers,Singapore,,Singapore,,TRUE,M,01/01/1966,
2324,Zbigniew Juroszek & family,59,1200,Diversified,real estate- gambling,Poland,,Cieszyn,,TRUE,M,07/07/1962,
2324,Chatchai Kaewbootta,70,1200,Finance & Investments,auto loans,Thailand,,Bangkok,,TRUE,M,07/05/1951,
2324,Shirley Kao,65,1200,Food & Beverage,food & beverage retailing,Taiwan,,Tainan,,FALSE,F,09/02/1956,
2324,Ipek Kirac,37,1200,Diversified,diversified,Turkey,,Istanbul,,FALSE,F,11/28/1984,
2324,Carsten Koerl,57,1200,Sports,sports data,Switzerland,,,,TRUE,M,11/27/1964,Entrepreneur- Investor
2324,Andrei Kosogov,61,1200,Energy,Banking,Russia,,Moscow,,TRUE,M,3/15/1961,
2324,John Krystynak,53,1200,Media & Entertainment,mobile games,United States,Nevada,Incline Village,,TRUE,M,05/01/1968,
2324,John Kusuma,55,1200,Finance & Investments,banking,Indonesia,,Jakarta,,FALSE,M,11/18/1966,
2324,Hartono Kweefanus,72,1200,Food & Beverage,food manufacturing,Indonesia,,,,FALSE,M,1/25/1950,
2324,Kwek Leng Peck,66,1200,Diversified,diversified,Singapore,,Singapore,,FALSE,M,01/01/1956,
2324,Kristo Käärmann,41,1200,Finance & Investments,payments- banking,United Kingdom,,London,Wise,TRUE,M,09/01/1980,Cofounder
2324,Guy Laliberté,62,1200,Media & Entertainment,Cirque du Soleil,Canada,,Montreal,Cirque du Soleil,TRUE,M,01/01/1960,Cofounder and CEO
2324,Lee Sang-ryul,60,1200,Manufacturing,chemicals,South Korea,,,Chunbo,TRUE,M,10/21/1961,Co-CEO
2324,Lee Seung-gun,40,1200,Technology,fintech,South Korea,,Seoul,,TRUE,M,1/30/1982,
2324,Hongjing Li,54,1200,Automotive,auto parts,China,,Haikou,,TRUE,M,02/01/1968,
2324,Li Wanqiang,44,1200,Technology,smartphones,China,,Beijing,,TRUE,M,08/01/1977,
2324,Lu Hongyan,44,1200,Media & Entertainment,online games,China,,Xiamen,,TRUE,M,5/31/1977,
2324,Dalong Lv,60,1200,Telecom,telecom services,China,,Beijing,,TRUE,M,03/12/1962,
2324,Carsten Maschmeyer,62,1200,Finance & Investments,finance services,Germany,,Munich,,TRUE,M,05/08/1959,Entrepreneur
2324,Todd McKinnon,50,1200,Technology,software,United States,California,San Francisco,,TRUE,M,10/25/1971,
2324,Rubens Menin Teixeira de Souza,66,1200,Diversified,home building- banking,Brazil,,Belo Horizonte,,TRUE,M,03/12/1956,
2324,Lorinc Meszaros,56,1200,Diversified,diversified,Hungary,,Felcsút,,TRUE,M,2/25/1966,
2324,Ulrich Mommert & family,81,1200,Automotive,lighting,,,,,TRUE,M,01/11/1941,
2324,Park Kwan-ho,50,1200,Media & Entertainment,online games,South Korea,,Seoul,,TRUE,M,01/11/1972,
2324,George Pedersen,86,1200,Manufacturing,defense contractor,United States,Virginia,McLean,,TRUE,M,8/18/1935,
2324,David Penaloza Alanis,48,1200,Construction & Engineering,toll roads,Mexico,,Mexico City,,FALSE,M,01/01/1974,
2324,Stefan Pierer,65,1200,Automotive,automotive,Austria,,Wels,,TRUE,M,11/25/1956,
2324,Murdaya Poo,81,1200,Diversified,diversified,Indonesia,,Jakarta,,FALSE,M,01/12/1941,
2324,Michael Price,69,1200,Finance & Investments,investments,United States,New Jersey,Far Hills,MFP Investors Inc.,FALSE,M,07/03/1952,President
2324,Leonid Radvinsky,40,1200,Technology,e-commerce,United States,Illinois,Chicago,,TRUE,M,01/05/1982,
2324,Megdet Rahimkulov & family,76,1200,Finance & Investments,investments,Russia,,Moscow,,TRUE,M,10/16/1945,
2324,Andrei Rappoport,58,1200,Finance & Investments,investments,Russia,,Moscow,,TRUE,M,6/22/1963,
2324,Dasari Uday Kumar Reddy,54,1200,Technology,cloud communications,India,,Hyderabad,,TRUE,M,05/01/1967,
2324,Helena Revoredo,75,1200,Service,security services,Spain,,Madrid,,FALSE,F,02/10/1947,
2324,Duke Reyes,65,1200,Food & Beverage,beer distribution,United States,Florida,Palm Beach,,FALSE,M,3/23/1957,
2324,Nobutada Saji,76,1200,Food & Beverage,beverages,Japan,,Tokyo,,FALSE,M,11/25/1945,
2324,Leonard Schleifer,69,1200,Healthcare,pharmaceuticals,United States,New York,Tarrytown,Regeneron Pharmaceuticals,TRUE,M,07/07/1952,CEO and Founder
2324,Airat Shaimiev,60,1200,Energy,refinery- chemicals,Russia,,Kazan,,TRUE,M,03/07/1962,
2324,Radik Shaimiev,57,1200,Energy,refinery- chemicals,Russia,,Kazan,,TRUE,M,11/14/1964,
2324,Vijay Shekhar Sharma,43,1200,Service,financial technology,India,,Delhi,,TRUE,M,06/07/1978,
2324,Devi Shetty,69,1200,Healthcare,healthcare,India,,Bangalore,,TRUE,M,01/01/1953,
2324,Shum Chiu Hung & family,52,1200,Real Estate,real estate,China,,Guangzhou,,TRUE,M,,
2324,Michael Steinhardt,81,1200,Finance & Investments,hedge funds,United States,New York,Mount Kisco,,TRUE,M,12/07/1940,
2324,Petter Stordalen & family,59,1200,Service,hotels,Norway,,Oslo,,TRUE,M,11/29/1962,
2324,Winarko Sulistyo,76,1200,Manufacturing,paper and pulp,Indonesia,,Jakarta,,TRUE,M,12/10/1945,
